SiteID, 20608.0
Longitude, -102.535217
Latitude, 35.29789
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,1.187,0.0
2012,11,1,0,5,1.1380000000000001,0.0
2012,11,1,0,10,1.022,0.0
2012,11,1,0,15,0.854,0.0
2012,11,1,0,20,0.659,0.0
2012,11,1,0,25,0.588,0.0
2012,11,1,0,30,0.659,0.0
2012,11,1,0,35,0.812,0.0
2012,11,1,0,40,1.135,0.0
2012,11,1,0,45,1.675,0.0
2012,11,1,0,50,2.353,0.007
2012,11,1,0,55,3.103,0.053
2012,11,1,1,0,3.802,0.252
2012,11,1,1,5,4.422,0.502
2012,11,1,1,10,4.907,0.805
2012,11,1,1,15,5.413,1.131
2012,11,1,1,20,5.835,1.481
2012,11,1,1,25,6.134,1.7630000000000001
2012,11,1,1,30,6.3500000000000005,1.967
2012,11,1,1,35,6.509,2.118
2012,11,1,1,40,6.573,2.179
2012,11,1,1,45,6.586,2.191
2012,11,1,1,50,6.607,2.212
2012,11,1,1,55,6.665,2.267
2012,11,1,2,0,6.683,2.285
2012,11,1,2,5,6.699,2.305
2012,11,1,2,10,6.7540000000000004,2.376
2012,11,1,2,15,6.854,2.5060000000000002
2012,11,1,2,20,7.034,2.738
2012,11,1,2,25,7.208,2.963
2012,11,1,2,30,7.404,3.216
2012,11,1,2,35,7.635,3.517
2012,11,1,2,40,7.892,3.8890000000000002
2012,11,1,2,45,8.166,4.36
2012,11,1,2,50,8.411,4.777
2012,11,1,2,55,8.597,5.094
2012,11,1,3,0,8.737,5.332
2012,11,1,3,5,8.914,5.635
2012,11,1,3,10,9.204,6.255
2012,11,1,3,15,9.601,7.107
2012,11,1,3,20,9.933,7.822
2012,11,1,3,25,10.232000000000001,8.525
2012,11,1,3,30,10.598,9.424
2012,11,1,3,35,10.913,10.198
2012,11,1,3,40,11.059000000000001,10.561
2012,11,1,3,45,11.105,10.674
2012,11,1,3,50,11.047,10.533
2012,11,1,3,55,10.953,10.303
2012,11,1,4,0,10.870000000000001,10.104000000000001
2012,11,1,4,5,10.855,10.07
2012,11,1,4,10,10.995000000000001,10.417
2012,11,1,4,15,11.209,10.927
2012,11,1,4,20,11.417,11.393
2012,11,1,4,25,11.551,11.696
2012,11,1,4,30,11.667,11.957
2012,11,1,4,35,11.819,12.301
2012,11,1,4,40,11.948,12.59
2012,11,1,4,45,12.06,12.845
2012,11,1,4,50,12.17,13.094
2012,11,1,4,55,12.274000000000001,13.305
2012,11,1,5,0,12.338000000000001,13.398
2012,11,1,5,5,12.393,13.478
2012,11,1,5,10,12.488,13.612
2012,11,1,5,15,12.643,13.829
2012,11,1,5,20,12.814,14.067
