SiteID, 33157.0
Longitude, -98.448242
Latitude, 37.362431
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,4.699,1.0170000000000001
2012,11,1,0,5,4.721,1.037
2012,11,1,0,10,4.708,1.026
2012,11,1,0,15,4.602,0.929
2012,11,1,0,20,4.4430000000000005,0.786
2012,11,1,0,25,4.235,0.629
2012,11,1,0,30,4.062,0.534
2012,11,1,0,35,3.994,0.497
2012,11,1,0,40,4.025,0.514
2012,11,1,0,45,4.062,0.534
2012,11,1,0,50,4.086,0.548
2012,11,1,0,55,4.144,0.579
2012,11,1,1,0,4.22,0.621
2012,11,1,1,5,4.269,0.648
2012,11,1,1,10,4.324,0.68
2012,11,1,1,15,4.324,0.68
2012,11,1,1,20,4.284,0.656
2012,11,1,1,25,4.26,0.643
2012,11,1,1,30,4.245,0.634
2012,11,1,1,35,4.208,0.614
2012,11,1,1,40,4.184,0.6
2012,11,1,1,45,4.162,0.588
2012,11,1,1,50,4.123,0.5660000000000001
2012,11,1,1,55,4.0680000000000005,0.536
2012,11,1,2,0,4.013,0.505
2012,11,1,2,5,3.985,0.49
2012,11,1,2,10,3.994,0.495
2012,11,1,2,15,4.062,0.532
2012,11,1,2,20,4.162,0.587
2012,11,1,2,25,4.29,0.658
2012,11,1,2,30,4.428,0.769
2012,11,1,2,35,4.535,0.865
2012,11,1,2,40,4.632,0.9530000000000001
2012,11,1,2,45,4.705,1.0190000000000001
2012,11,1,2,50,4.742,1.052
2012,11,1,2,55,4.721,1.033
2012,11,1,3,0,4.666,0.983
2012,11,1,3,5,4.589,0.915
2012,11,1,3,10,4.538,0.868
2012,11,1,3,15,4.501,0.836
2012,11,1,3,20,4.449,0.789
2012,11,1,3,25,4.406,0.75
2012,11,1,3,30,4.361,0.709
2012,11,1,3,35,4.339,0.6900000000000001
2012,11,1,3,40,4.303,0.665
2012,11,1,3,45,4.257,0.64
2012,11,1,3,50,4.19,0.603
2012,11,1,3,55,4.147,0.579
2012,11,1,4,0,4.15,0.581
2012,11,1,4,5,4.196,0.606
2012,11,1,4,10,4.257,0.64
2012,11,1,4,15,4.275,0.65
2012,11,1,4,20,4.2540000000000004,0.639
2012,11,1,4,25,4.269,0.647
2012,11,1,4,30,4.309,0.669
2012,11,1,4,35,4.3790000000000004,0.728
2012,11,1,4,40,4.4670000000000005,0.808
2012,11,1,4,45,4.486,0.8240000000000001
2012,11,1,4,50,4.4430000000000005,0.786
2012,11,1,4,55,4.367,0.717
2012,11,1,5,0,4.3,0.664
2012,11,1,5,5,4.266,0.645
2012,11,1,5,10,4.2540000000000004,0.639
2012,11,1,5,15,4.275,0.65
2012,11,1,5,20,4.33,0.684
2012,11,1,5,25,4.385,0.734
2012,11,1,5,30,4.376,0.726
2012,11,1,5,35,4.336,0.6900000000000001
2012,11,1,5,40,4.33,0.685
2012,11,1,5,45,4.367,0.718
2012,11,1,5,50,4.4190000000000005,0.766
2012,11,1,5,55,4.474,0.8150000000000001
2012,11,1,6,0,4.495,0.835
2012,11,1,6,5,4.4430000000000005,0.788
2012,11,1,6,10,4.33,0.687
2012,11,1,6,15,4.214,0.619
2012,11,1,6,20,4.1530000000000005,0.585
2012,11,1,6,25,4.165,0.591
2012,11,1,6,30,4.248,0.637
2012,11,1,6,35,4.336,0.6920000000000001
2012,11,1,6,40,4.385,0.737
2012,11,1,6,45,4.391,0.743
2012,11,1,6,50,4.354,0.71
2012,11,1,6,55,4.2780000000000005,0.655
2012,11,1,7,0,4.205,0.614
2012,11,1,7,5,4.174,0.597
2012,11,1,7,10,4.202,0.613
2012,11,1,7,15,4.242,0.634
2012,11,1,7,20,4.2540000000000004,0.641
2012,11,1,7,25,4.257,0.643
2012,11,1,7,30,4.2780000000000005,0.655
2012,11,1,7,35,4.348,0.705
2012,11,1,7,40,4.409,0.76
2012,11,1,7,45,4.413,0.763
2012,11,1,7,50,4.394,0.747
2012,11,1,7,55,4.373,0.728
2012,11,1,8,0,4.361,0.717
2012,11,1,8,5,4.345,0.7030000000000001
2012,11,1,8,10,4.364,0.72
2012,11,1,8,15,4.406,0.759
2012,11,1,8,20,4.464,0.812
2012,11,1,8,25,4.516,0.859
2012,11,1,8,30,4.586,0.922
2012,11,1,8,35,4.6690000000000005,0.997
2012,11,1,8,40,4.718,1.041
2012,11,1,8,45,4.705,1.03
2012,11,1,8,50,4.641,0.973
2012,11,1,8,55,4.562,0.901
2012,11,1,9,0,4.48,0.8270000000000001
2012,11,1,9,5,4.431,0.783
2012,11,1,9,10,4.394,0.751
2012,11,1,9,15,4.364,0.724
2012,11,1,9,20,4.3180000000000005,0.683
2012,11,1,9,25,4.245,0.64
2012,11,1,9,30,4.162,0.594
2012,11,1,9,35,4.0920000000000005,0.556
2012,11,1,9,40,4.055,0.535
2012,11,1,9,45,4.058,0.537
2012,11,1,9,50,4.12,0.5700000000000001
2012,11,1,9,55,4.1930000000000005,0.611
2012,11,1,10,0,4.229,0.631
2012,11,1,10,5,4.174,0.601
2012,11,1,10,10,4.071,0.544
2012,11,1,10,15,3.97,0.488
2012,11,1,10,20,3.93,0.467
2012,11,1,10,25,3.973,0.49
2012,11,1,10,30,4.058,0.538
2012,11,1,10,35,4.132,0.578
2012,11,1,10,40,4.141,0.584
2012,11,1,10,45,4.1290000000000004,0.577
2012,11,1,10,50,4.1930000000000005,0.612
2012,11,1,10,55,4.269,0.655
2012,11,1,11,0,4.312,0.68
2012,11,1,11,5,4.315,0.683
2012,11,1,11,10,4.293,0.668
2012,11,1,11,15,4.251,0.645
2012,11,1,11,20,4.19,0.611
2012,11,1,11,25,4.147,0.587
2012,11,1,11,30,4.171,0.601
2012,11,1,11,35,4.226,0.631
2012,11,1,11,40,4.269,0.655
2012,11,1,11,45,4.257,0.648
2012,11,1,11,50,4.226,0.632
2012,11,1,11,55,4.196,0.615
2012,11,1,12,0,4.159,0.595
2012,11,1,12,5,4.123,0.5750000000000001
2012,11,1,12,10,4.065,0.543
2012,11,1,12,15,3.964,0.487
2012,11,1,12,20,3.823,0.41000000000000003
2012,11,1,12,25,3.723,0.354
2012,11,1,12,30,3.686,0.334
2012,11,1,12,35,3.674,0.327
2012,11,1,12,40,3.708,0.34600000000000003
2012,11,1,12,45,3.7720000000000002,0.381
2012,11,1,12,50,3.845,0.421
2012,11,1,12,55,3.8850000000000002,0.443
2012,11,1,13,0,3.903,0.453
2012,11,1,13,5,3.866,0.433
2012,11,1,13,10,3.759,0.374
2012,11,1,13,15,3.628,0.302
2012,11,1,13,20,3.555,0.261
2012,11,1,13,25,3.564,0.266
2012,11,1,13,30,3.604,0.28800000000000003
2012,11,1,13,35,3.601,0.28600000000000003
2012,11,1,13,40,3.54,0.253
2012,11,1,13,45,3.482,0.221
2012,11,1,13,50,3.448,0.202
2012,11,1,13,55,3.43,0.192
2012,11,1,14,0,3.4050000000000002,0.178
2012,11,1,14,5,3.4050000000000002,0.178
2012,11,1,14,10,3.415,0.183
2012,11,1,14,15,3.439,0.197
2012,11,1,14,20,3.5,0.23
2012,11,1,14,25,3.5700000000000003,0.269
2012,11,1,14,30,3.613,0.292
2012,11,1,14,35,3.595,0.28200000000000003
2012,11,1,14,40,3.524,0.243
2012,11,1,14,45,3.4450000000000003,0.199
2012,11,1,14,50,3.384,0.166
2012,11,1,14,55,3.338,0.14100000000000001
2012,11,1,15,0,3.259,0.097
2012,11,1,15,5,3.228,0.082
2012,11,1,15,10,3.21,0.081
2012,11,1,15,15,3.238,0.085
2012,11,1,15,20,3.277,0.107
2012,11,1,15,25,3.299,0.11900000000000001
2012,11,1,15,30,3.265,0.1
2012,11,1,15,35,3.1670000000000003,0.078
2012,11,1,15,40,3.051,0.069
2012,11,1,15,45,2.8930000000000002,0.056
2012,11,1,15,50,2.633,0.036000000000000004
2012,11,1,15,55,2.465,0.023
2012,11,1,16,0,2.365,0.016
2012,11,1,16,5,2.291,0.01
2012,11,1,16,10,2.249,0.007
2012,11,1,16,15,2.246,0.006
2012,11,1,16,20,2.221,0.005
2012,11,1,16,25,2.191,0.002
2012,11,1,16,30,2.16,0.0
2012,11,1,16,35,2.166,0.0
2012,11,1,16,40,2.2,0.003
2012,11,1,16,45,2.261,0.007
2012,11,1,16,50,2.356,0.015
2012,11,1,16,55,2.468,0.023
2012,11,1,17,0,2.545,0.029
2012,11,1,17,5,2.548,0.029
2012,11,1,17,10,2.505,0.026000000000000002
2012,11,1,17,15,2.45,0.022
2012,11,1,17,20,2.3770000000000002,0.016
2012,11,1,17,25,2.294,0.01
2012,11,1,17,30,2.23,0.005
2012,11,1,17,35,2.215,0.004
2012,11,1,17,40,2.224,0.004
2012,11,1,17,45,2.212,0.003
2012,11,1,17,50,2.194,0.002
2012,11,1,17,55,2.185,0.001
2012,11,1,18,0,2.194,0.002
2012,11,1,18,5,2.206,0.003
2012,11,1,18,10,2.209,0.003
2012,11,1,18,15,2.185,0.001
2012,11,1,18,20,2.13,0.0
2012,11,1,18,25,2.0380000000000003,0.0
2012,11,1,18,30,1.937,0.0
2012,11,1,18,35,1.879,0.0
2012,11,1,18,40,1.8920000000000001,0.0
2012,11,1,18,45,2.008,0.0
2012,11,1,18,50,2.2,0.002
2012,11,1,18,55,2.368,0.015
2012,11,1,19,0,2.444,0.021
2012,11,1,19,5,2.453,0.022
2012,11,1,19,10,2.432,0.02
2012,11,1,19,15,2.398,0.017
2012,11,1,19,20,2.362,0.014
2012,11,1,19,25,2.316,0.011
2012,11,1,19,30,2.2760000000000002,0.008
2012,11,1,19,35,2.2520000000000002,0.006
2012,11,1,19,40,2.246,0.005
2012,11,1,19,45,2.227,0.004
2012,11,1,19,50,2.1750000000000003,0.0
2012,11,1,19,55,2.099,0.0
2012,11,1,20,0,2.063,0.0
2012,11,1,20,5,2.105,0.0
2012,11,1,20,10,2.212,0.003
2012,11,1,20,15,2.325,0.011
2012,11,1,20,20,2.404,0.017
2012,11,1,20,25,2.453,0.021
2012,11,1,20,30,2.456,0.021
2012,11,1,20,35,2.441,0.02
2012,11,1,20,40,2.4290000000000003,0.019
2012,11,1,20,45,2.468,0.022
2012,11,1,20,50,2.545,0.028
2012,11,1,20,55,2.591,0.032
2012,11,1,21,0,2.621,0.034
2012,11,1,21,5,2.719,0.041
2012,11,1,21,10,2.853,0.052000000000000005
2012,11,1,21,15,2.945,0.059000000000000004
2012,11,1,21,20,2.938,0.058
2012,11,1,21,25,2.8930000000000002,0.055
2012,11,1,21,30,2.887,0.054
2012,11,1,21,35,2.896,0.055
2012,11,1,21,40,2.856,0.052000000000000005
2012,11,1,21,45,2.816,0.049
2012,11,1,21,50,2.838,0.051000000000000004
2012,11,1,21,55,2.8770000000000002,0.054
2012,11,1,22,0,2.887,0.054
2012,11,1,22,5,2.88,0.054
2012,11,1,22,10,2.899,0.055
2012,11,1,22,15,3.015,0.064
2012,11,1,22,20,3.192,0.078
2012,11,1,22,25,3.265,0.08700000000000001
2012,11,1,22,30,3.265,0.08700000000000001
2012,11,1,22,35,3.387,0.154
2012,11,1,22,40,3.592,0.266
2012,11,1,22,45,3.753,0.355
2012,11,1,22,50,3.8200000000000003,0.391
2012,11,1,22,55,3.894,0.432
2012,11,1,23,0,4.065,0.525
2012,11,1,23,5,4.321,0.666
2012,11,1,23,10,4.538,0.853
2012,11,1,23,15,4.663,0.966
2012,11,1,23,20,4.748,1.043
2012,11,1,23,25,4.8580000000000005,1.1420000000000001
2012,11,1,23,30,4.94,1.216
2012,11,1,23,35,4.904,1.183
2012,11,1,23,40,4.76,1.055
2012,11,1,23,45,4.687,0.989
2012,11,1,23,50,4.7940000000000005,1.085
2012,11,1,23,55,5.0440000000000005,1.31
2012,11,2,0,0,5.319,1.557
2012,11,2,0,5,5.569,1.84
2012,11,2,0,10,5.789,2.125
2012,11,2,0,15,5.908,2.279
2012,11,2,0,20,5.938,2.318
2012,11,2,0,25,6.024,2.428
2012,11,2,0,30,6.195,2.65
2012,11,2,0,35,6.292,2.777
2012,11,2,0,40,6.292,2.777
2012,11,2,0,45,6.341,2.841
2012,11,2,0,50,6.509,3.06
2012,11,2,0,55,6.729,3.455
2012,11,2,1,0,6.9670000000000005,3.883
2012,11,2,1,5,7.107,4.135
2012,11,2,1,10,7.126,4.167
2012,11,2,1,15,7.113,4.1450000000000005
2012,11,2,1,20,7.095,4.113
2012,11,2,1,25,7.04,4.014
2012,11,2,1,30,6.985,3.915
2012,11,2,1,35,6.939,3.8320000000000003
2012,11,2,1,40,6.909,3.777
2012,11,2,1,45,6.909,3.7760000000000002
2012,11,2,1,50,6.939,3.83
2012,11,2,1,55,6.958,3.862
2012,11,2,2,0,6.988,3.916
2012,11,2,2,5,7.0520000000000005,4.03
2012,11,2,2,10,7.1160000000000005,4.144
2012,11,2,2,15,7.171,4.243
2012,11,2,2,20,7.235,4.359
2012,11,2,2,25,7.293,4.464
2012,11,2,2,30,7.345,4.558
2012,11,2,2,35,7.437,4.724
2012,11,2,2,40,7.547000000000001,4.923
2012,11,2,2,45,7.657,5.16
2012,11,2,2,50,7.742,5.364
2012,11,2,2,55,7.751,5.386
2012,11,2,3,0,7.684,5.227
2012,11,2,3,5,7.6080000000000005,5.046
2012,11,2,3,10,7.599,5.023
2012,11,2,3,15,7.6690000000000005,5.189
2012,11,2,3,20,7.7540000000000004,5.391
2012,11,2,3,25,7.8180000000000005,5.5440000000000005
2012,11,2,3,30,7.907,5.7540000000000004
2012,11,2,3,35,8.017,6.015000000000001
2012,11,2,3,40,8.102,6.219
2012,11,2,3,45,8.182,6.408
2012,11,2,3,50,8.273,6.628
2012,11,2,3,55,8.355,6.824
2012,11,2,4,0,8.386000000000001,6.896
2012,11,2,4,5,8.346,6.799
2012,11,2,4,10,8.297,6.681
2012,11,2,4,15,8.343,6.788
2012,11,2,4,20,8.462,7.07
2012,11,2,4,25,8.52,7.2090000000000005
2012,11,2,4,30,8.465,7.079
2012,11,2,4,35,8.392,6.9030000000000005
2012,11,2,4,40,8.383000000000001,6.8790000000000004
2012,11,2,4,45,8.416,6.956
2012,11,2,4,50,8.468,7.078
2012,11,2,4,55,8.606,7.404
2012,11,2,5,0,8.792,7.91
2012,11,2,5,5,8.932,8.323
2012,11,2,5,10,8.944,8.363
2012,11,2,5,15,8.88,8.179
2012,11,2,5,20,8.819,8.002
2012,11,2,5,25,8.777000000000001,7.877
2012,11,2,5,30,8.777000000000001,7.876
2012,11,2,5,35,8.853,8.098
2012,11,2,5,40,8.905,8.25
2012,11,2,5,45,8.844,8.072000000000001
2012,11,2,5,50,8.749,7.796
2012,11,2,5,55,8.691,7.626
2012,11,2,6,0,8.722,7.713
2012,11,2,6,5,8.822000000000001,8.006
2012,11,2,6,10,8.893,8.212
2012,11,2,6,15,8.883000000000001,8.187
2012,11,2,6,20,8.844,8.074
2012,11,2,6,25,8.835,8.051
2012,11,2,6,30,8.88,8.187
2012,11,2,6,35,9.033,8.634
2012,11,2,6,40,9.225,9.196
2012,11,2,6,45,9.427,9.786
2012,11,2,6,50,9.497,9.994
2012,11,2,6,55,9.347,9.558
2012,11,2,7,0,9.262,9.31
2012,11,2,7,5,9.366,9.615
2012,11,2,7,10,9.408,9.741
2012,11,2,7,15,9.414,9.76
2012,11,2,7,20,9.482,9.957
2012,11,2,7,25,9.506,10.03
2012,11,2,7,30,9.463000000000001,9.906
2012,11,2,7,35,9.451,9.871
2012,11,2,7,40,9.491,9.988
2012,11,2,7,45,9.512,10.052
2012,11,2,7,50,9.521,10.081
2012,11,2,7,55,9.503,10.031
2012,11,2,8,0,9.488,9.988
2012,11,2,8,5,9.552,10.175
2012,11,2,8,10,9.656,10.477
2012,11,2,8,15,9.695,10.594
2012,11,2,8,20,9.729000000000001,10.693
2012,11,2,8,25,9.805,10.906
2012,11,2,8,30,9.869,11.083
2012,11,2,8,35,9.884,11.125
2012,11,2,8,40,9.906,11.183
2012,11,2,8,45,9.961,11.335
2012,11,2,8,50,10.022,11.503
2012,11,2,8,55,10.061,11.614
2012,11,2,9,0,10.08,11.666
2012,11,2,9,5,10.083,11.674
2012,11,2,9,10,10.040000000000001,11.557
2012,11,2,9,15,10.003,11.455
2012,11,2,9,20,9.991,11.421
2012,11,2,9,25,10.01,11.47
2012,11,2,9,30,10.01,11.469
2012,11,2,9,35,9.976,11.376
2012,11,2,9,40,9.939,11.277000000000001
2012,11,2,9,45,9.948,11.303
2012,11,2,9,50,9.976,11.378
2012,11,2,9,55,9.958,11.327
2012,11,2,10,0,9.878,11.107000000000001
2012,11,2,10,5,9.799,10.888
2012,11,2,10,10,9.741,10.728
2012,11,2,10,15,9.689,10.579
2012,11,2,10,20,9.601,10.322000000000001
2012,11,2,10,25,9.454,9.896
2012,11,2,10,30,9.311,9.481
2012,11,2,10,35,9.185,9.118
2012,11,2,10,40,9.048,8.72
2012,11,2,10,45,8.874,8.214
2012,11,2,10,50,8.719,7.76
2012,11,2,10,55,8.67,7.618
2012,11,2,11,0,8.682,7.652
2012,11,2,11,5,8.648,7.556
2012,11,2,11,10,8.596,7.432
2012,11,2,11,15,8.569,7.3660000000000005
2012,11,2,11,20,8.548,7.314
2012,11,2,11,25,8.505,7.211
2012,11,2,11,30,8.477,7.142
2012,11,2,11,35,8.523,7.2490000000000006
2012,11,2,11,40,8.639,7.522
2012,11,2,11,45,8.764,7.873
2012,11,2,11,50,8.868,8.172
2012,11,2,11,55,8.92,8.318
2012,11,2,12,0,8.938,8.365
2012,11,2,12,5,8.978,8.476
2012,11,2,12,10,9.039,8.649000000000001
2012,11,2,12,15,9.115,8.867
2012,11,2,12,20,9.195,9.095
2012,11,2,12,25,9.256,9.273
2012,11,2,12,30,9.289,9.371
2012,11,2,12,35,9.311,9.432
2012,11,2,12,40,9.347,9.538
2012,11,2,12,45,9.399000000000001,9.688
2012,11,2,12,50,9.405,9.706
2012,11,2,12,55,9.414,9.732
2012,11,2,13,0,9.439,9.801
2012,11,2,13,5,9.436,9.791
2012,11,2,13,10,9.424,9.755
2012,11,2,13,15,9.405,9.703
2012,11,2,13,20,9.375,9.615
2012,11,2,13,25,9.311,9.431000000000001
2012,11,2,13,30,9.28,9.343
2012,11,2,13,35,9.326,9.475
2012,11,2,13,40,9.448,9.829
2012,11,2,13,45,9.573,10.193
2012,11,2,13,50,9.628,10.355
2012,11,2,13,55,9.71,10.596
2012,11,2,14,0,9.881,11.072000000000001
2012,11,2,14,5,10.019,11.453
2012,11,2,14,10,10.162,11.851
2012,11,2,14,15,10.229000000000001,12.039
2012,11,2,14,20,10.174,11.897
2012,11,2,14,25,10.199,11.967
2012,11,2,14,30,10.266,12.151
2012,11,2,14,35,10.122,11.766
2012,11,2,14,40,10.107000000000001,11.724
2012,11,2,14,45,10.168000000000001,11.886000000000001
2012,11,2,14,50,10.235,12.06
2012,11,2,14,55,10.275,12.165000000000001
2012,11,2,15,0,10.153,11.829
2012,11,2,15,5,10.199,11.950000000000001
2012,11,2,15,10,9.976,11.343
2012,11,2,15,15,9.799,10.859
2012,11,2,15,20,9.588000000000001,10.259
2012,11,2,15,25,9.384,9.67
2012,11,2,15,30,9.06,8.735
2012,11,2,15,35,8.606,7.446
2012,11,2,15,40,8.096,6.24
2012,11,2,15,45,7.58,5.018
2012,11,2,15,50,6.83,3.6630000000000003
2012,11,2,15,55,6.308,2.815
2012,11,2,16,0,5.957,2.359
2012,11,2,16,5,5.88,2.259
2012,11,2,16,10,5.914,2.301
2012,11,2,16,15,5.938,2.332
2012,11,2,16,20,5.932,2.323
2012,11,2,16,25,5.8500000000000005,2.216
2012,11,2,16,30,5.771,2.112
2012,11,2,16,35,5.746,2.079
2012,11,2,16,40,5.737,2.066
2012,11,2,16,45,5.621,1.915
2012,11,2,16,50,5.438,1.676
2012,11,2,16,55,5.285,1.53
2012,11,2,17,0,5.1850000000000005,1.439
2012,11,2,17,5,5.142,1.4000000000000001
2012,11,2,17,10,5.13,1.3880000000000001
2012,11,2,17,15,5.203,1.453
2012,11,2,17,20,5.276,1.518
2012,11,2,17,25,5.264,1.506
2012,11,2,17,30,5.148,1.401
2012,11,2,17,35,5.032,1.297
2012,11,2,17,40,5.005,1.2710000000000001
2012,11,2,17,45,4.989,1.2570000000000001
2012,11,2,17,50,5.001,1.2670000000000001
2012,11,2,17,55,5.0840000000000005,1.341
2012,11,2,18,0,5.236,1.477
2012,11,2,18,5,5.447,1.672
2012,11,2,18,10,5.542,1.793
2012,11,2,18,15,5.4350000000000005,1.6540000000000001
2012,11,2,18,20,5.301,1.5310000000000001
2012,11,2,18,25,5.316,1.544
2012,11,2,18,30,5.432,1.647
2012,11,2,18,35,5.487,1.716
2012,11,2,18,40,5.542,1.786
2012,11,2,18,45,5.7,1.99
2012,11,2,18,50,5.829,2.154
2012,11,2,18,55,5.896,2.24
2012,11,2,19,0,5.932,2.286
2012,11,2,19,5,5.9510000000000005,2.308
2012,11,2,19,10,5.987,2.355
2012,11,2,19,15,6.048,2.433
2012,11,2,19,20,6.0600000000000005,2.448
2012,11,2,19,25,6.027,2.404
2012,11,2,19,30,5.923,2.269
2012,11,2,19,35,5.7490000000000006,2.044
2012,11,2,19,40,5.594,1.843
2012,11,2,19,45,5.484,1.7
2012,11,2,19,50,5.404,1.613
2012,11,2,19,55,5.337,1.553
2012,11,2,20,0,5.282,1.5030000000000001
2012,11,2,20,5,5.221,1.448
2012,11,2,20,10,5.191,1.421
2012,11,2,20,15,5.163,1.3960000000000001
2012,11,2,20,20,5.124,1.36
2012,11,2,20,25,5.121,1.357
2012,11,2,20,30,5.127,1.363
2012,11,2,20,35,5.0840000000000005,1.324
2012,11,2,20,40,5.038,1.283
2012,11,2,20,45,5.056,1.3
2012,11,2,20,50,5.111,1.349
2012,11,2,20,55,5.133,1.368
2012,11,2,21,0,5.163,1.395
2012,11,2,21,5,5.178,1.409
2012,11,2,21,10,5.072,1.314
2012,11,2,21,15,4.855,1.121
2012,11,2,21,20,4.59,0.884
2012,11,2,21,25,4.373,0.6900000000000001
2012,11,2,21,30,4.297,0.643
2012,11,2,21,35,4.351,0.673
2012,11,2,21,40,4.354,0.675
2012,11,2,21,45,4.309,0.65
2012,11,2,21,50,4.6290000000000004,0.921
2012,11,2,21,55,5.6240000000000006,1.885
2012,11,2,22,0,6.524,3.052
2012,11,2,22,5,6.7780000000000005,3.509
2012,11,2,22,10,6.7620000000000005,3.483
2012,11,2,22,15,6.817,3.583
2012,11,2,22,20,6.756,3.475
2012,11,2,22,25,6.53,3.072
2012,11,2,22,30,6.421,2.9250000000000003
2012,11,2,22,35,6.631,3.254
2012,11,2,22,40,6.863,3.6710000000000003
2012,11,2,22,45,6.891,3.722
2012,11,2,22,50,6.839,3.629
2012,11,2,22,55,6.814,3.586
2012,11,2,23,0,7.049,4.009
2012,11,2,23,5,7.721,5.284
2012,11,2,23,10,8.572000000000001,7.301
2012,11,2,23,15,9.143,8.9
2012,11,2,23,20,9.271,9.277000000000001
2012,11,2,23,25,9.222,9.14
2012,11,2,23,30,9.43,9.746
2012,11,2,23,35,9.912,11.127
2012,11,2,23,40,10.321,12.258000000000001
2012,11,2,23,45,10.577,12.97
2012,11,2,23,50,10.769,13.509
2012,11,2,23,55,10.925,13.838000000000001
2012,11,3,0,0,11.047,14.040000000000001
2012,11,3,0,5,11.172,14.246
2012,11,3,0,10,11.352,14.540000000000001
2012,11,3,0,15,11.548,14.858
2012,11,3,0,20,11.774000000000001,15.226
2012,11,3,0,25,11.944,15.447000000000001
2012,11,3,0,30,11.972,15.461
2012,11,3,0,35,11.929,15.443
2012,11,3,0,40,11.932,15.446
2012,11,3,0,45,11.944,15.452
2012,11,3,0,50,11.978,15.468
2012,11,3,0,55,12.006,15.481
2012,11,3,1,0,12.048,15.501
2012,11,3,1,5,12.088000000000001,15.52
