SiteID, 25706.0
Longitude, -99.52887
Latitude, 36.33485
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,7.071,3.98
2012,11,1,0,5,7.183,4.181
2012,11,1,0,10,7.232,4.269
2012,11,1,0,15,7.2780000000000005,4.351
2012,11,1,0,20,7.4,4.569
2012,11,1,0,25,7.614,4.95
2012,11,1,0,30,7.8580000000000005,5.508
2012,11,1,0,35,8.044,5.946
2012,11,1,0,40,8.096,6.067
2012,11,1,0,45,8.041,5.937
2012,11,1,0,50,8.029,5.907
2012,11,1,0,55,8.133000000000001,6.15
2012,11,1,1,0,8.282,6.501
2012,11,1,1,5,8.407,6.795
2012,11,1,1,10,8.511000000000001,7.038
2012,11,1,1,15,8.609,7.268
2012,11,1,1,20,8.676,7.426
2012,11,1,1,25,8.764,7.65
2012,11,1,1,30,8.905,8.054
2012,11,1,1,35,9.103,8.625
2012,11,1,1,40,9.323,9.256
2012,11,1,1,45,9.494,9.747
2012,11,1,1,50,9.607,10.071
2012,11,1,1,55,9.723,10.403
2012,11,1,2,0,9.805,10.641
2012,11,1,2,5,9.839,10.737
2012,11,1,2,10,9.808,10.651
2012,11,1,2,15,9.729000000000001,10.423
2012,11,1,2,20,9.714,10.379
2012,11,1,2,25,9.802,10.634
2012,11,1,2,30,9.927,10.98
2012,11,1,2,35,10.019,11.23
2012,11,1,2,40,10.129,11.529
2012,11,1,2,45,10.245000000000001,11.843
2012,11,1,2,50,10.397,12.257
2012,11,1,2,55,10.565,12.714
2012,11,1,3,0,10.745000000000001,13.205
2012,11,1,3,5,10.907,13.646
2012,11,1,3,10,11.029,13.858
2012,11,1,3,15,11.157,14.063
2012,11,1,3,20,11.294,14.282
2012,11,1,3,25,11.417,14.479000000000001
2012,11,1,3,30,11.487,14.592
2012,11,1,3,35,11.533,14.665000000000001
2012,11,1,3,40,11.551,14.694
2012,11,1,3,45,11.563,14.714
2012,11,1,3,50,11.597,14.767
2012,11,1,3,55,11.627,14.816
2012,11,1,4,0,11.606,14.783
2012,11,1,4,5,11.514000000000001,14.639000000000001
2012,11,1,4,10,11.35,14.38
2012,11,1,4,15,11.136000000000001,14.043000000000001
2012,11,1,4,20,10.944,13.741
2012,11,1,4,25,10.767,13.304
2012,11,1,4,30,10.623000000000001,12.918000000000001
2012,11,1,4,35,10.565,12.763
2012,11,1,4,40,10.593,12.84
2012,11,1,4,45,10.638,12.967
2012,11,1,4,50,10.699,13.138
2012,11,1,4,55,10.693,13.127
2012,11,1,5,0,10.69,13.121
2012,11,1,5,5,10.724,13.213000000000001
2012,11,1,5,10,10.855,13.572000000000001
2012,11,1,5,15,11.054,13.935
2012,11,1,5,20,11.27,14.278
2012,11,1,5,25,11.395,14.476
2012,11,1,5,30,11.444,14.553
2012,11,1,5,35,11.518,14.67
2012,11,1,5,40,11.664,14.903
2012,11,1,5,45,11.762,15.057
2012,11,1,5,50,11.804,15.124
2012,11,1,5,55,11.926,15.317
2012,11,1,6,0,12.103,15.473
2012,11,1,6,5,12.244,15.534
2012,11,1,6,10,12.351,15.581
2012,11,1,6,15,12.433,15.617
2012,11,1,6,20,12.464,15.631
2012,11,1,6,25,12.454,15.626
2012,11,1,6,30,12.369,15.589
2012,11,1,6,35,12.186,15.508000000000001
2012,11,1,6,40,11.872,15.228
2012,11,1,6,45,11.408,14.492
2012,11,1,6,50,10.8,13.419
2012,11,1,6,55,10.169,11.704
2012,11,1,7,0,9.772,10.621
2012,11,1,7,5,9.68,10.357000000000001
2012,11,1,7,10,9.595,10.109
2012,11,1,7,15,9.455,9.705
2012,11,1,7,20,9.287,9.224
2012,11,1,7,25,9.134,8.787
2012,11,1,7,30,9.039,8.517
2012,11,1,7,35,9.055,8.561
2012,11,1,7,40,9.152000000000001,8.842
2012,11,1,7,45,9.18,8.923
2012,11,1,7,50,9.076,8.627
2012,11,1,7,55,8.93,8.205
2012,11,1,8,0,8.765,7.73
2012,11,1,8,5,8.618,7.355
2012,11,1,8,10,8.53,7.149
2012,11,1,8,15,8.405,6.8580000000000005
2012,11,1,8,20,8.167,6.301
2012,11,1,8,25,7.849,5.556
2012,11,1,8,30,7.489,4.78
2012,11,1,8,35,7.117,4.115
2012,11,1,8,40,6.7780000000000005,3.509
2012,11,1,8,45,6.525,3.057
2012,11,1,8,50,6.391,2.884
2012,11,1,8,55,6.333,2.811
2012,11,1,9,0,6.29,2.758
2012,11,1,9,5,6.232,2.686
2012,11,1,9,10,6.189,2.632
2012,11,1,9,15,6.143,2.574
2012,11,1,9,20,6.085,2.5
2012,11,1,9,25,6.027,2.426
2012,11,1,9,30,5.963,2.345
2012,11,1,9,35,5.9110000000000005,2.279
2012,11,1,9,40,5.82,2.162
2012,11,1,9,45,5.719,2.0340000000000003
2012,11,1,9,50,5.658,1.956
2012,11,1,9,55,5.597,1.879
2012,11,1,10,0,5.518,1.7770000000000001
2012,11,1,10,5,5.454,1.696
2012,11,1,10,10,5.365,1.603
2012,11,1,10,15,5.295,1.541
2012,11,1,10,20,5.258,1.5090000000000001
2012,11,1,10,25,5.301,1.548
2012,11,1,10,30,5.448,1.694
2012,11,1,10,35,5.618,1.917
2012,11,1,10,40,5.737,2.072
2012,11,1,10,45,5.8020000000000005,2.157
2012,11,1,10,50,5.759,2.102
2012,11,1,10,55,5.622,1.924
2012,11,1,11,0,5.49,1.754
2012,11,1,11,5,5.429,1.675
2012,11,1,11,10,5.4350000000000005,1.683
2012,11,1,11,15,5.463,1.719
2012,11,1,11,20,5.493,1.7590000000000001
2012,11,1,11,25,5.521,1.796
2012,11,1,11,30,5.572,1.863
2012,11,1,11,35,5.6850000000000005,2.011
2012,11,1,11,40,5.8260000000000005,2.193
2012,11,1,11,45,5.936,2.336
2012,11,1,11,50,5.99,2.408
2012,11,1,11,55,5.997,2.4170000000000003
2012,11,1,12,0,5.996,2.4170000000000003
2012,11,1,12,5,6.027,2.457
2012,11,1,12,10,6.094,2.545
2012,11,1,12,15,6.173,2.649
2012,11,1,12,20,6.228,2.721
2012,11,1,12,25,6.247,2.746
2012,11,1,12,30,6.222,2.715
2012,11,1,12,35,6.18,2.6590000000000003
2012,11,1,12,40,6.1370000000000005,2.604
2012,11,1,12,45,6.125,2.587
