SiteID, 76729.0
Longitude, -97.682465
Latitude, 42.661732
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,2.099,0.0
2012,11,1,0,5,2.1510000000000002,0.0
2012,11,1,0,10,2.148,0.0
2012,11,1,0,15,2.121,0.0
2012,11,1,0,20,2.075,0.0
2012,11,1,0,25,2.032,0.0
2012,11,1,0,30,1.998,0.0
2012,11,1,0,35,1.98,0.0
2012,11,1,0,40,1.937,0.0
2012,11,1,0,45,1.895,0.0
2012,11,1,0,50,1.8980000000000001,0.0
2012,11,1,0,55,1.9100000000000001,0.0
2012,11,1,1,0,1.8920000000000001,0.0
2012,11,1,1,5,1.858,0.0
2012,11,1,1,10,1.858,0.0
2012,11,1,1,15,1.9040000000000001,0.0
2012,11,1,1,20,1.95,0.0
2012,11,1,1,25,1.98,0.0
2012,11,1,1,30,1.974,0.0
2012,11,1,1,35,1.94,0.0
2012,11,1,1,40,1.9160000000000001,0.0
2012,11,1,1,45,1.94,0.0
2012,11,1,1,50,2.023,0.0
2012,11,1,1,55,2.093,0.0
2012,11,1,2,0,2.072,0.0
2012,11,1,2,5,2.02,0.0
2012,11,1,2,10,2.005,0.0
2012,11,1,2,15,2.011,0.0
2012,11,1,2,20,2.005,0.0
2012,11,1,2,25,2.0140000000000002,0.0
2012,11,1,2,30,2.02,0.0
2012,11,1,2,35,2.0140000000000002,0.0
2012,11,1,2,40,1.98,0.0
2012,11,1,2,45,1.94,0.0
2012,11,1,2,50,1.94,0.0
2012,11,1,2,55,1.895,0.0
2012,11,1,3,0,1.873,0.0
2012,11,1,3,5,1.913,0.0
2012,11,1,3,10,1.956,0.0
2012,11,1,3,15,1.947,0.0
2012,11,1,3,20,1.947,0.0
2012,11,1,3,25,1.9160000000000001,0.0
2012,11,1,3,30,1.9040000000000001,0.0
2012,11,1,3,35,1.925,0.0
2012,11,1,3,40,1.8980000000000001,0.0
2012,11,1,3,45,1.825,0.0
2012,11,1,3,50,1.754,0.0
2012,11,1,3,55,1.709,0.0
2012,11,1,4,0,1.6600000000000001,0.0
2012,11,1,4,5,1.62,0.0
2012,11,1,4,10,1.623,0.0
2012,11,1,4,15,1.647,0.0
2012,11,1,4,20,1.663,0.0
2012,11,1,4,25,1.672,0.0
2012,11,1,4,30,1.681,0.0
2012,11,1,4,35,1.678,0.0
2012,11,1,4,40,1.687,0.0
2012,11,1,4,45,1.709,0.0
2012,11,1,4,50,1.715,0.0
2012,11,1,4,55,1.663,0.0
2012,11,1,5,0,1.556,0.0
2012,11,1,5,5,1.458,0.0
