SiteID, 77175.0
Longitude, -97.582306
Latitude, 42.700447
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,1.864,0.0
2012,11,1,0,5,1.828,0.0
2012,11,1,0,10,1.7670000000000001,0.0
2012,11,1,0,15,1.703,0.0
2012,11,1,0,20,1.59,0.0
2012,11,1,0,25,1.498,0.0
2012,11,1,0,30,1.449,0.0
2012,11,1,0,35,1.403,0.0
2012,11,1,0,40,1.397,0.0
2012,11,1,0,45,1.428,0.0
2012,11,1,0,50,1.431,0.0
2012,11,1,0,55,1.425,0.0
2012,11,1,1,0,1.452,0.0
2012,11,1,1,5,1.428,0.0
2012,11,1,1,10,1.428,0.0
2012,11,1,1,15,1.449,0.0
2012,11,1,1,20,1.449,0.0
2012,11,1,1,25,1.3760000000000001,0.0
2012,11,1,1,30,1.291,0.0
2012,11,1,1,35,1.254,0.0
2012,11,1,1,40,1.266,0.0
2012,11,1,1,45,1.309,0.0
2012,11,1,1,50,1.352,0.0
2012,11,1,1,55,1.419,0.0
2012,11,1,2,0,1.477,0.0
2012,11,1,2,5,1.541,0.0
2012,11,1,2,10,1.577,0.0
2012,11,1,2,15,1.586,0.0
2012,11,1,2,20,1.577,0.0
2012,11,1,2,25,1.586,0.0
2012,11,1,2,30,1.608,0.0
2012,11,1,2,35,1.605,0.0
2012,11,1,2,40,1.568,0.0
2012,11,1,2,45,1.522,0.0
2012,11,1,2,50,1.455,0.0
2012,11,1,2,55,1.431,0.0
2012,11,1,3,0,1.449,0.0
2012,11,1,3,5,1.425,0.0
2012,11,1,3,10,1.358,0.0
2012,11,1,3,15,1.294,0.0
2012,11,1,3,20,1.214,0.0
2012,11,1,3,25,1.178,0.0
2012,11,1,3,30,1.178,0.0
2012,11,1,3,35,1.162,0.0
2012,11,1,3,40,1.113,0.0
2012,11,1,3,45,1.074,0.0
2012,11,1,3,50,1.089,0.0
2012,11,1,3,55,1.11,0.0
2012,11,1,4,0,1.068,0.0
2012,11,1,4,5,0.994,0.0
2012,11,1,4,10,0.918,0.0
2012,11,1,4,15,0.848,0.0
2012,11,1,4,20,0.766,0.0
2012,11,1,4,25,0.6950000000000001,0.0
2012,11,1,4,30,0.631,0.0
2012,11,1,4,35,0.582,0.0
2012,11,1,4,40,0.54,0.0
2012,11,1,4,45,0.5640000000000001,0.0
2012,11,1,4,50,0.61,0.0
2012,11,1,4,55,0.644,0.0
2012,11,1,5,0,0.668,0.0
2012,11,1,5,5,0.732,0.0
2012,11,1,5,10,0.778,0.0
2012,11,1,5,15,0.811,0.0
2012,11,1,5,20,0.836,0.0
2012,11,1,5,25,0.848,0.0
2012,11,1,5,30,0.839,0.0
2012,11,1,5,35,0.8210000000000001,0.0
2012,11,1,5,40,0.8240000000000001,0.0
2012,11,1,5,45,0.848,0.0
2012,11,1,5,50,0.909,0.0
2012,11,1,5,55,0.988,0.0
2012,11,1,6,0,1.025,0.0
2012,11,1,6,5,1.046,0.0
2012,11,1,6,10,1.098,0.0
2012,11,1,6,15,1.19,0.0
2012,11,1,6,20,1.287,0.0
2012,11,1,6,25,1.364,0.0
2012,11,1,6,30,1.471,0.0
2012,11,1,6,35,1.586,0.0
2012,11,1,6,40,1.672,0.0
2012,11,1,6,45,1.7850000000000001,0.0
2012,11,1,6,50,1.913,0.0
2012,11,1,6,55,2.056,0.0
2012,11,1,7,0,2.157,0.0
2012,11,1,7,5,2.2520000000000002,0.007
2012,11,1,7,10,2.343,0.014
2012,11,1,7,15,2.3890000000000002,0.018000000000000002
2012,11,1,7,20,2.4010000000000002,0.019
2012,11,1,7,25,2.398,0.019
2012,11,1,7,30,2.41,0.02
2012,11,1,7,35,2.441,0.022
2012,11,1,7,40,2.493,0.026000000000000002
2012,11,1,7,45,2.5420000000000003,0.03
2012,11,1,7,50,2.612,0.035
2012,11,1,7,55,2.661,0.039
2012,11,1,8,0,2.719,0.043000000000000003
2012,11,1,8,5,2.835,0.052000000000000005
2012,11,1,8,10,2.969,0.063
2012,11,1,8,15,3.067,0.07
2012,11,1,8,20,3.161,0.077
2012,11,1,8,25,3.228,0.083
2012,11,1,8,30,3.286,0.115
2012,11,1,8,35,3.344,0.147
2012,11,1,8,40,3.396,0.17500000000000002
2012,11,1,8,45,3.4450000000000003,0.202
2012,11,1,8,50,3.479,0.221
2012,11,1,8,55,3.5180000000000002,0.243
2012,11,1,9,0,3.573,0.274
2012,11,1,9,5,3.6710000000000003,0.328
2012,11,1,9,10,3.787,0.392
2012,11,1,9,15,3.939,0.47700000000000004
2012,11,1,9,20,4.071,0.55
2012,11,1,9,25,6.006,2.486
2012,11,1,9,30,9.158,9.355
2012,11,1,9,35,8.129,6.57
2012,11,1,9,40,7.064,4.247
2012,11,1,9,45,6.591,3.3890000000000002
2012,11,1,9,50,6.601,3.407
2012,11,1,9,55,6.933,4.006
2012,11,1,10,0,7.3180000000000005,4.7
2012,11,1,10,5,7.708,5.545
2012,11,1,10,10,8.108,6.514
2012,11,1,10,15,8.508000000000001,7.4830000000000005
2012,11,1,10,20,8.975,8.846
2012,11,1,10,25,9.405,10.119
2012,11,1,10,30,9.717,11.023
2012,11,1,10,35,10.064,12.003
2012,11,1,10,40,10.342,12.785
2012,11,1,10,45,10.458,13.114
2012,11,1,10,50,10.586,13.478
2012,11,1,10,55,10.687,13.734
2012,11,1,11,0,10.614,13.574
2012,11,1,11,5,10.464,13.164
2012,11,1,11,10,10.293000000000001,12.693
2012,11,1,11,15,10.104000000000001,12.169
