timestamp_utc,forecast_mw,forecast_25_mw,forecast_75_mw,actual_mw
2017-04-14T10:54:44Z,2.874425634,1.588064071,4.86033807,3.9433333
2017-04-14T11:09:44Z,2.860955361,1.588064071,5.308112834,3.2516667
2017-04-14T11:24:44Z,2.874425634,1.588064071,5.170330903,4.06
2017-04-14T11:39:44Z,2.874425634,1.588064071,4.471585704,3.4583333
2017-04-14T11:54:44Z,2.215979704,1.588064071,4.115930746,2.205
2017-04-14T12:09:44Z,1.987575093,1.588064071,4.115930746,1.8616667
2017-04-14T12:24:44Z,2.426738197,1.588064071,4.115930746,2.5016667
2017-04-14T12:39:44Z,2.977866135,1.985687868,4.453544908,3.2866667
2017-04-14T12:54:44Z,2.938109187,1.985687868,4.453544908,3.29
2017-04-14T13:09:44Z,3.155497508,1.985687868,5.675619799,3.6566667
2017-04-14T13:24:44Z,3.087441017,1.985687868,5.541814444,3.53
2017-04-14T13:39:44Z,3.045948273,1.985687868,5.466107716,3.5383333
2017-04-14T13:54:44Z,3.287230361,1.985687868,5.943266939,3.9666667
2017-04-14T14:09:44Z,3.336628428,1.985687868,6.032725469,3.99
2017-04-14T14:24:44Z,2.813593968,1.985687868,4.453544908,2.9483333
2017-04-14T14:39:44Z,3.128469604,1.985687868,5.615868249,3.6983333
2017-04-14T14:54:44Z,3.130429244,2.39114951,5.24423504,3.01
2017-04-14T15:09:44Z,2.706914062,2.257907643,5.24423504,2.24
2017-04-14T15:24:44Z,2.700259147,1.475848267,5.24423504,1.3866667
2017-04-14T15:39:44Z,3.493085316,2.39114951,5.24423504,3.4166667
2017-04-14T15:54:44Z,2.700259147,1.666212539,5.24423504,1.585
2017-04-14T16:09:44Z,2.700259147,1.475848267,5.24423504,0.6166667
2017-04-14T16:24:44Z,2.841523188,2.39114951,5.24423504,2.61
2017-04-14T16:39:44Z,2.744935322,1.588064071,4.115930746,3.0483333
2017-04-14T16:54:44Z,2.244674545,1.588064071,4.115930746,2.2333333
2017-04-14T17:09:44Z,1.819108761,1.340944802,4.115930746,1.2766667
2017-04-14T17:24:44Z,2.000479829,1.588064071,4.115930746,1.89
2017-04-14T17:39:44Z,1.819108761,1.386959763,4.115930746,1.415
2017-04-14T17:54:44Z,1.819108761,1.060528955,4.115930746,1.0333333
2017-04-14T18:09:44Z,1.819108761,1.210527841,4.115930746,1.2266667
2017-04-14T18:24:44Z,1.819108761,1.463756733,4.115930746,1.4616667
2017-04-14T18:39:44Z,2.394243638,1.985687868,4.453544908,2.4683333
2017-04-14T18:54:44Z,2.78883334,1.985687868,4.453544908,2.9466667
2017-04-14T19:09:44Z,2.863871069,1.985687868,4.453544908,3.0683333
2017-04-14T19:24:44Z,2.717307491,1.985687868,4.453544908,2.8383333
2017-04-14T19:39:44Z,2.765050906,1.985687868,4.453544908,2.86
2017-04-14T19:54:44Z,2.601805614,1.985687868,4.453544908,2.6583333
2017-04-14T20:09:44Z,2.85157334,1.985687868,4.453544908,3.0116667
2017-04-14T20:24:44Z,2.159907971,1.81566772,4.453544908,1.8283333
2017-04-14T20:39:44Z,2.700259147,1.558036157,5.24423504,1.5016667
2017-04-14T20:54:44Z,2.700259147,1.475848267,5.24423504,0.64
2017-04-14T21:09:44Z,2.700259147,1.475848267,5.24423504,1.38
2017-04-14T21:24:44Z,2.700259147,1.475848267,5.24423504,1.3283333
2017-04-14T21:39:44Z,3.400486522,2.39114951,5.24423504,3.49
2017-04-14T21:54:44Z,3.416215899,2.39114951,5.24423504,3.4033333
2017-04-14T22:09:44Z,3.701276779,2.39114951,5.24423504,3.9583333
2017-04-14T22:24:44Z,3.790863508,2.39114951,5.24423504,4.035
2017-04-14T22:39:44Z,2.874425634,1.588064071,5.617920994,6.5183333
2017-04-14T22:54:44Z,2.874425634,1.588064071,5.617920994,5.0966667
2017-04-14T23:09:44Z,2.874425634,1.588064071,5.000044691,3.9833333
2017-04-14T23:24:44Z,2.874425634,1.588064071,4.741980656,3.7066667
2017-04-14T23:39:44Z,2.118486924,1.588064071,4.115930746,2.05
2017-04-14T23:54:44Z,2.07191844,1.588064071,4.115930746,2.0216667
2017-04-15T00:09:44Z,1.857800092,1.588064071,4.115930746,1.6033333
2017-04-15T00:24:44Z,2.964003401,2.588064071,6,1.8233333
2017-04-15T00:39:44Z,3.895283561,3.588064071,13,1.655
2017-04-15T00:54:44Z,12.15990797,4,14.45354491,1.7366667
2017-04-15T01:09:44Z,13.24809025,12.98568787,15.45354491,2.1166667
2017-04-15T01:24:44Z,14.28821933,13.98568787,16.45354491,3.2
2017-04-15T01:39:44Z,15.19426272,14.98568787,17.45354491,3.9783333
2017-04-15T01:54:44Z,16.83874735,15.98568787,18.45354491,13.1666667
2017-04-15T02:09:44Z,18.3727644,16.98568787,22.68861213,22.545
2017-04-15T02:24:44Z,19.3727644,17.98568787,23.68861213,19.8966667
2017-04-15T02:39:44Z,20.98620149,19.39114951,24.45296831,20.1983333
2017-04-15T02:54:44Z,21.26843531,20.39114951,23.24423504,17.1733333
2017-04-15T03:09:44Z,21.70025915,11,24.24423504,16.8416667
2017-04-15T03:24:44Z,23.45991808,10,25.24423504,19.505
2017-04-15T03:39:44Z,10.87843113,3,25,21.295
2017-04-15T03:54:44Z,3.941814552,2.39114951,12,22.4316667
2017-04-15T04:09:44Z,3.650186356,2.39114951,5.24423504,22.8433333
2017-04-15T04:24:44Z,3.986201489,2.39114951,6.795922345,25.7633333
