Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,2.569,0.03
2012,11,1,0,5,2.621,0.034
2012,11,1,0,10,2.676,0.039
2012,11,1,0,15,2.725,0.042
2012,11,1,0,20,2.7800000000000002,0.047
2012,11,1,0,25,2.81,0.049
2012,11,1,0,30,2.829,0.05
2012,11,1,0,35,2.7920000000000003,0.048
2012,11,1,0,40,2.755,0.045
2012,11,1,0,45,2.713,0.042
2012,11,1,0,50,2.649,0.037
2012,11,1,0,55,2.569,0.031
2012,11,1,1,0,2.536,0.028
2012,11,1,1,5,2.539,0.028
2012,11,1,1,10,2.551,0.029
2012,11,1,1,15,2.572,0.031
2012,11,1,1,20,2.591,0.032
2012,11,1,1,25,2.6270000000000002,0.035
2012,11,1,1,30,2.664,0.038
2012,11,1,1,35,2.685,0.039
2012,11,1,1,40,2.716,0.042
2012,11,1,1,45,2.74,0.044
2012,11,1,1,50,2.774,0.046
2012,11,1,1,55,2.807,0.049
2012,11,1,2,0,2.862,0.053
2012,11,1,2,5,2.92,0.058
2012,11,1,2,10,2.96,0.061
2012,11,1,2,15,2.96,0.061
2012,11,1,2,20,2.975,0.062
2012,11,1,2,25,2.963,0.061
2012,11,1,2,30,2.963,0.061
2012,11,1,2,35,2.944,0.059000000000000004
2012,11,1,2,40,2.932,0.058
2012,11,1,2,45,2.938,0.059000000000000004
2012,11,1,2,50,2.972,0.062
2012,11,1,2,55,2.972,0.062
2012,11,1,3,0,2.96,0.061
2012,11,1,3,5,2.938,0.059000000000000004
2012,11,1,3,10,2.935,0.059000000000000004
2012,11,1,3,15,2.944,0.059000000000000004
2012,11,1,3,20,2.993,0.063
2012,11,1,3,25,3.06,0.068
2012,11,1,3,30,3.076,0.069
2012,11,1,3,35,3.0700000000000003,0.069
2012,11,1,3,40,3.103,0.07200000000000001
2012,11,1,3,45,3.149,0.075
2012,11,1,3,50,3.161,0.076
2012,11,1,3,55,3.189,0.078
2012,11,1,4,0,3.237,0.082
2012,11,1,4,5,3.299,0.11
2012,11,1,4,10,3.3810000000000002,0.155
2012,11,1,4,15,3.448,0.192
2012,11,1,4,20,3.5,0.22
2012,11,1,4,25,3.5180000000000002,0.23
2012,11,1,4,30,3.491,0.214
2012,11,1,4,35,3.482,0.209
2012,11,1,4,40,3.503,0.221
2012,11,1,4,45,3.497,0.217
2012,11,1,4,50,3.454,0.193
2012,11,1,4,55,3.4050000000000002,0.166
2012,11,1,5,0,3.357,0.139
2012,11,1,5,5,3.384,0.154
2012,11,1,5,10,3.573,0.258
2012,11,1,5,15,3.869,0.42
2012,11,1,5,20,4.11,0.553
2012,11,1,5,25,4.162,0.583
2012,11,1,5,30,4.171,0.589
2012,11,1,5,35,4.26,0.639
2012,11,1,5,40,4.354,0.7000000000000001
2012,11,1,5,45,4.425,0.762
2012,11,1,5,50,4.452,0.785
2012,11,1,5,55,4.449,0.78
